genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Pop;1001ac02;32250;16125;1783;0.1105;3566;0.2211
Pop;6c11df09;343275;38141;49388;1.2948;160879;4.2179
Country;85097d0b;182325;16575;1655;0.0998;5695;0.3435
Country;be0eed0e;286725;20480;5274;0.2575;18097;0.8836
Country;ca103410;311250;19453;9884;0.5081;43345;2.2281
Country;010f5010;294150;18384;2791;0.1518;10216;0.5556
Country;16103b12;311775;17320;3329;0.1922;15276;0.8819
Country;1c025e03;45600;15200;1825;0.1201;4161;0.2737
Country;1e122114;348225;17411;2399;0.1377;9106;0.5229
Country;2c125714;352275;17613;2318;0.1316;9059;0.5143
Country;2d123214;349500;17475;2412;0.1380;9116;0.5216
;31125614;352200;17610;2258;0.1282;9002;0.5111
Pop;36049006;87750;14625;2178;0.1489;6138;0.4196
XMas;3d048006;86550;14425;2149;0.1490;5971;0.4139
Country;3f05f106;114225;19037;2846;0.1495;7608;0.3996
Christian;41048506;86925;14487;2141;0.1478;5988;0.4133
Holiday;41048706;87075;14512;2107;0.1452;5838;0.4022
Country;42049a06;88500;14750;2214;0.1501;6288;0.4263
Country;4805d806;112350;18725;2019;0.1078;5625;0.3004
Pop;4905d906;112425;18737;2007;0.1071;5575;0.2975
Country;4c049006;87750;14625;1474;0.1008;3917;0.2678
Country;4f049a06;88500;14750;1475;0.1000;3917;0.2655
Country;50049106;87825;14637;1474;0.1007;3917;0.2676
Country;52049506;88125;14687;1474;0.1003;3915;0.2665
Country;52049a06;88650;14775;1474;0.0998;3917;0.2651
Country;540ba607;223800;31971;28039;0.8770;83581;2.6142
Country;56128a07;356100;50871;74149;1.4575;215770;4.2414
Country;61068608;125400;15675;3654;0.2331;13324;0.8500
Country;64080b08;154575;19321;2070;0.1071;5693;0.2946
;66081008;154950;19368;2067;0.1067;5657;0.2920
Country;6c11df09;343275;38141;49388;1.2948;160879;4.2179
Country;6f09720b;181575;16506;1695;0.1027;5695;0.3450
Country;7c097d0b;182325;16575;1660;0.1002;5646;0.3406
;800c110c;231900;19325;6684;0.3459;25710;1.3304
Country;85097d0b;182325;16575;1655;0.0998;5695;0.3435
;85097f0b;182475;16588;1644;0.0991;5695;0.3433
Country;8509930b;183975;16725;1595;0.0953;5695;0.3405
Country;8809910b;183825;16711;1669;0.0999;5695;0.3407
Country;8c09910b;183825;16711;1671;0.0999;5694;0.3407
Country;8e09920b;183900;16718;1668;0.0997;5696;0.3407
Country;8f0c100c;231750;19312;6682;0.3460;25703;1.3308
Karaoke;910a690c;200025;16668;1498;0.0898;4759;0.2855
;9309a60b;185400;16854;1660;0.0985;5698;0.3380
Crossover;970c1b0c;232575;19381;6646;0.3429;25697;1.3258
Country;970c1d0c;232725;19393;6683;0.3446;25847;1.3327
Country;a90b6f0d;219675;16898;1601;0.0947;5763;0.3410
Pop;ac0b700d;219750;16903;1604;0.0949;5784;0.3421
Country;af0c9a0d;242100;18623;1749;0.0939;7035;0.3777
Country;b00c9a0d;242100;18623;1748;0.0938;7035;0.3777
Karaoke;b30fd80d;304350;23411;15728;0.6718;63189;2.6990
Country;b50ca40d;242850;18680;1732;0.0927;7034;0.3765
Country;b50caa0f;243300;16220;1644;0.1013;5695;0.3511
