genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Data;0004185f;78750;828;344;0.4160;1616;1.9494
Pop;00098f13;183675;9667;1121;0.1160;3436;0.3554
Country;0009b912;186825;10379;1528;0.1472;5080;0.4894
Rock;0009d214;188700;9435;1278;0.1355;4857;0.5147
Rock;0009dd12;189525;10529;2283;0.2168;9961;0.9460
Country;0009e012;189750;10541;1442;0.1368;5222;0.4953
Pop;000a8313;201975;10630;1383;0.1301;6127;0.5763
Folk;000abe11;206400;12141;4750;0.3912;17296;1.4245
Oldies;000b6214;218700;10935;686;0.0628;2165;0.1979
Rock;000b6314;218775;10938;1340;0.1225;5149;0.4707
Soundtrack;000be610;228600;14287;3437;0.2405;12061;0.8441
Audiobook;000c1011;231750;13632;2260;0.1657;11103;0.8144
;000c2912;233625;12979;2017;0.1554;7490;0.5770
Easy;000c4e12;236400;13133;1330;0.1013;4657;0.3545
Oldies;000c6012;237750;13208;2159;0.1635;8833;0.6687
;000c8012;240150;13341;2804;0.2101;10193;0.7639
Tango;000c8211;240300;14135;1457;0.1030;4122;0.2916
Blues;000c8212;240300;13350;5281;0.3956;23886;1.7892
Blues;000cac12;243450;13525;1027;0.0760;4240;0.3134
Soundtrack;000cbe10;244800;15300;2396;0.1566;9813;0.6413
Blues;000cbe12;244800;13600;1233;0.0906;5450;0.4007
AudioBook;000cc212;245100;13616;608;0.0447;2370;0.1740
Filmmusik;000cc312;245175;13620;2418;0.1775;8475;0.6222
Other;000cd010;246150;15384;2168;0.1409;9310;0.6051
Oldies;000cd314;246375;12318;2165;0.1758;8400;0.6818
Rap;000d3313;253575;13346;4431;0.3320;16196;1.2135
Hip;000d9e12;261600;14533;6136;0.4222;19836;1.3648
Electronic;000dab11;262575;15445;2342;0.1516;8355;0.5409
Alternative;000dad13;262725;11942;5426;0.4543;21418;1.7934
Soul;000dcd14;265125;13256;7185;0.5420;37174;2.8042
Chansons;000df514;268125;13406;2301;0.1716;8000;0.5967
Oldie;000e0e11;270000;15882;4627;0.2913;14288;0.8996
Pop;000e4811;274350;16138;2002;0.1240;6630;0.4108
Data;000e5b10;275775;17235;24377;1.4143;108045;6.2685
Game;000e6712;276675;15370;6081;0.3956;25140;1.6355
Speech;000e6f12;277275;15404;5618;0.3647;20918;1.3579
Sports;000e7511;277725;16336;5517;0.3377;21310;1.3044
Data;000e9212;279900;13995;6807;0.4863;24323;1.7379
;000e9b12;280575;15587;2552;0.1637;12123;0.7777
Regaetton;000eb513;282525;14869;2571;0.1729;10615;0.7138
Disco;000eba11;282900;16641;4240;0.2547;16230;0.9752
;000ebf11;283275;16663;4844;0.2907;21844;1.3109
Pop;000efc10;287850;17990;2186;0.1215;9379;0.5213
Rock;000f0b12;288975;16054;3489;0.2173;11071;0.6896
;000f1212;289500;16083;3052;0.1898;14053;0.8737
Country;000f1513;289725;15248;1720;0.1128;6308;0.4136
;000f2012;290550;16141;2346;0.1453;7931;0.4913
AudioBook;000f3912;292425;16245;2073;0.1276;8490;0.5225
AudioBook;000f3913;292425;15390;3773;0.2451;16968;1.1024
