genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Rock;00093713;177075;9319;6067;0.6510;26953;2.8920
Country;0009e012;189750;10541;1442;0.1368;5222;0.4953
Reggae;000b0a12;212100;10605;3921;0.3697;15358;1.4481
Rock;000b1f14;213675;10683;1500;0.1404;5366;0.5022
Reggae;000b7a12;220500;11025;4151;0.3765;16588;1.5045
;000b9d12;223125;11156;6397;0.5734;24141;2.1638
Rap;000ba412;223650;12425;4255;0.3425;14309;1.1516
Reggae;000bae12;224400;12466;1728;0.1386;6985;0.5602
;000c4911;236025;13883;5772;0.4157;19621;1.4132
Dancehall;000c7612;239400;13300;964;0.0724;3321;0.2496
Ska;000ca013;242550;12765;2076;0.1626;8025;0.6286
Reggae;000cce14;246000;12300;1874;0.1524;7125;0.5792
Reggae;000ce614;247800;12390;2228;0.1798;10280;0.8297
Dance;000cfe12;249600;13866;6767;0.4880;19723;1.4223
Reggae;000d4514;254925;12746;1760;0.1380;6422;0.5038
Reggae;000d6712;257475;14304;7889;0.5515;23932;1.6730
reggae;000d6914;257625;12881;1068;0.0829;3661;0.2842
Rap;000d6f13;258075;13582;4998;0.3680;18704;1.3770
Reggae;000d7f12;259275;14404;2944;0.2044;14203;0.9860
Reggae;000dae12;262800;14600;2327;0.1593;9986;0.6839
Reggae;000db512;263325;14629;4695;0.3209;16127;1.1023
Rap;000dbf12;264075;14670;5666;0.3862;19831;1.3517
;000dc812;264750;14708;1855;0.1261;6127;0.4165
Rap;000dc910;264825;16551;2359;0.1425;8894;0.5373
Reggae;000dcb14;264975;13248;2313;0.1745;8822;0.6658
Pop;000dd614;265800;13290;3132;0.2356;11020;0.8291
Dance;000e0511;269325;15842;1466;0.0925;4910;0.3099
Reggae;000e0c14;269850;13492;2578;0.1911;11165;0.8274
Reggae;000e2410;271650;16978;787;0.0463;2988;0.1759
Reggae;000e2714;271875;13593;1685;0.1239;5828;0.4287
Hip;000e2b10;272175;17010;3349;0.1968;11675;0.6863
Reggae;000e2c12;272250;15125;6082;0.4021;18908;1.2501
Rap;000e3912;273225;15179;2559;0.1686;9617;0.6335
Reggae;000e3e11;273600;16094;6931;0.4306;30519;1.8962
Reggae;000e4a10;274500;17156;2454;0.1430;9865;0.5750
;000e9410;280050;15558;6208;0.3990;26870;1.7270
Rap;000e9f12;280875;15604;4205;0.2694;17369;1.1131
Reggae;000ec714;283875;14193;2135;0.1504;8345;0.5879
;000ef312;287175;15954;2700;0.1692;9875;0.6189
Reggae;000f0813;288750;15197;2424;0.1595;9000;0.5922
Soca;000f1f12;290475;16137;2790;0.1729;8966;0.5556
Reggae;000f2b12;291375;16187;622;0.0384;2776;0.1714
;000f3111;291825;15359;5738;0.3735;22312;1.4526
Reggae;000f3712;292275;16237;2059;0.1268;9082;0.5593
Reggae;000f3c11;292650;17214;2110;0.1226;7700;0.4472
Reggae;000f4010;292950;18309;6694;0.3656;24823;1.3557
Reggae;000f4514;293325;14666;1494;0.1019;6312;0.4303
Dance;000f4812;293550;16308;1798;0.1102;8308;0.5094
Reggae;000f5e11;295200;17364;5498;0.3166;19763;1.1381
Reggae;000f6011;295350;17373;5494;0.3162;19763;1.1375
Pop;000f6c12;296250;16458;1840;0.1118;5370;0.3262
Reggae;000f9212;299100;16616;1273;0.0766;5795;0.3487
Reggae;000f9f14;300075;15003;2656;0.1770;9701;0.6465
Reggae;000fbe11;302400;15915;6148;0.3863;27182;1.7078
Reggae;000fcf13;303675;15982;1742;0.1090;6682;0.4180
Reggae;000fd912;304425;16912;1871;0.1106;7859;0.4646
Reggae;000fe712;305475;16970;1453;0.0856;5810;0.3423
Rap;000feb12;305775;16987;6634;0.3905;21521;1.2668
;000ff212;306300;17016;2887;0.1697;12121;0.7123
Rock;000ff912;306825;17045;3639;0.2134;14366;0.8427
